RSF_no,Store_id,Prod_id,C_Name,,,,,,,,,,,,,,
111,1832,10150,Blue Kite Web,,,,,,,,,,,,,,
112,9836,10090,The Zebra?,,,,,,,,,,,,,,
113,8374,10060,Purple Mango?,,,,,,,,,,,,,,
114,9087,10120,Tiny Rebellion,,,,,,,,,,,,,,
115,9836,10100,The Zebra?,,,,,,,,,,,,,,
116,1832,10030,Blue Kite Web,,,,,,,,,,,,,,
117,6372,10050,The Orange?,,,,,,,,,,,,,,
118,9280,10070,The Maroon Door?,,,,,,,,,,,,,,
119,9087,10120,Tiny Rebellion,,,,,,,,,,,,,,
120,7338,10140,Unchained Carrot,,,,,,,,,,,,,,
121,9928,10080,Angela?s?,,,,,,,,,,,,,,
122,6372,10050,The Orange?,,,,,,,,,,,,,,
123,6372,10050,The Orange?,,,,,,,,,,,,,,
124,7338,10140,Unchained Carrot,,,,,,,,,,,,,,
125,8374,10010,Purple Mango?,,,,,,,,,,,,,,
126,6372,10050,The Orange?,,,,,,,,,,,,,,
127,9836,10090,The Zebra?,,,,,,,,,,,,,,
128,4873,10110,Arctic Wolf?,,,,,,,,,,,,,,
129,4873,10110,Arctic Wolf?,,,,,,,,,,,,,,
130,9836,10090,The Zebra?,,,,,,,,,,,,,,
131,9280,10070,The Maroon Door?,,,,,,,,,,,,,,
132,2733,10040,The Tree Fellas,,,,,,,,,,,,,,
133,9087,10120,Tiny Rebellion,,,,,,,,,,,,,,
134,9836,10100,The Zebra?,,,,,,,,,,,,,,
135,9928,10080,Angela?s?,,,,,,,,,,,,,,
136,6372,10050,The Orange?,,,,,,,,,,,,,,
137,9280,10070,The Maroon Door?,,,,,,,,,,,,,,
138,2733,10040,The Tree Fellas,,,,,,,,,,,,,,
139,8787,10130,Small Giants,,,,,,,,,,,,,,
140,9087,10120,Tiny Rebellion,,,,,,,,,,,,,,
141,8787,10130,Small Giants,,,,,,,,,,,,,,
142,9928,10080,Angela?s?,,,,,,,,,,,,,,
143,4873,10160,Arctic Wolf?,,,,,,,,,,,,,,
144,8787,10130,Small Giants,,,,,,,,,,,,,,
145,8374,10060,Purple Mango?,,,,,,,,,,,,,,
146,9836,10090,The Zebra?,,,,,,,,,,,,,,
147,9280,10070,The Maroon Door?,,,,,,,,,,,,,,
148,1832,10150,Blue Kite Web,,,,,,,,,,,,,,
149,4873,10110,Arctic Wolf?,,,,,,,,,,,,,,
150,8374,10010,Purple Mango?,,,,,,,,,,,,,,
151,1832,10150,Blue Kite Web,,,,,,,,,,,,,,
152,9928,10080,Angela?s?,,,,,,,,,,,,,,
153,8374,10060,Purple Mango?,,,,,,,,,,,,,,
154,9928,10080,Angela?s?,,,,,,,,,,,,,,
155,4873,10110,Arctic Wolf?,,,,,,,,,,,,,,
156,2733,10040,The Tree Fellas,,,,,,,,,,,,,,
157,9280,10070,The Maroon Door?,,,,,,,,,,,,,,
158,9836,10090,The Zebra?,,,,,,,,,,,,,,
159,7338,10140,Unchained Carrot,,,,,,,,,,,,,,
160,8787,10130,Small Giants,,,,,,,,,,,,,,
161,8787,10130,Small Giants,,,,,,,,,,,,,,
162,7338,10140,Unchained Carrot,,,,,,,,,,,,,,
163,9928,10080,Angela?s?,,,,,,,,,,,,,,
164,8787,10130,Small Giants,,,,,,,,,,,,,,
165,8787,10130,Small Giants,,,,,,,,,,,,,,
166,9280,10070,The Maroon Door?,,,,,,,,,,,,,,
167,9280,10070,The Maroon Door?,,,,,,,,,,,,,,
168,2733,10040,The Tree Fellas,,,,,,,,,,,,,,
169,4873,10160,Arctic Wolf?,,,,,,,,,,,,,,
170,9836,10100,The Zebra?,,,,,,,,,,,,,,
171,4326,10020,The Building People,,,,,,,,,,,,,,
172,9836,10090,The Zebra?,,,,,,,,,,,,,,
173,7338,10140,Unchained Carrot,,,,,,,,,,,,,,
174,4326,10020,The Building People,,,,,,,,,,,,,,
175,4873,10110,Arctic Wolf?,,,,,,,,,,,,,,
176,9280,10170,The Maroon Door?,,,,,,,,,,,,,,
177,4873,10160,Arctic Wolf?,,,,,,,,,,,,,,
178,7338,10140,Unchained Carrot,,,,,,,,,,,,,,
179,4873,10110,Arctic Wolf?,,,,,,,,,,,,,,
180,4873,10160,Arctic Wolf?,,,,,,,,,,,,,,
181,8374,10060,Purple Mango?,,,,,,,,,,,,,,
182,2733,10040,The Tree Fellas,,,,,,,,,,,,,,
183,8374,10060,Purple Mango?,,,,,,,,,,,,,,
184,9836,10100,The Zebra?,,,,,,,,,,,,,,
185,9087,10120,Tiny Rebellion,,,,,,,,,,,,,,
186,9087,10120,Tiny Rebellion,,,,,,,,,,,,,,
187,8374,10060,Purple Mango?,,,,,,,,,,,,,,
188,9280,10170,The Maroon Door?,,,,,,,,,,,,,,
189,4873,10160,Arctic Wolf?,,,,,,,,,,,,,,
190,9280,10070,The Maroon Door?,,,,,,,,,,,,,,
191,2733,10040,The Tree Fellas,,,,,,,,,,,,,,
192,9280,10070,The Maroon Door?,,,,,,,,,,,,,,
193,7338,10140,Unchained Carrot,,,,,,,,,,,,,,
194,9836,10090,The Zebra?,,,,,,,,,,,,,,
195,9928,10080,Angela?s?,,,,,,,,,,,,,,
196,1832,10150,Blue Kite Web,,,,,,,,,,,,,,
197,1832,10150,Blue Kite Web,,,,,,,,,,,,,,
198,9928,10080,Angela?s?,,,,,,,,,,,,,,
199,7338,10140,Unchained Carrot,,,,,,,,,,,,,,
200,9928,10080,Angela?s?,,,,,,,,,,,,,,
201,9087,10120,Tiny Rebellion,,,,,,,,,,,,,,
202,9280,10070,The Maroon Door?,,,,,,,,,,,,,,
203,8374,10060,Purple Mango?,,,,,,,,,,,,,,
204,9836,10090,The Zebra?,,,,,,,,,,,,,,
205,6372,10050,The Orange?,,,,,,,,,,,,,,
206,8374,10060,Purple Mango?,,,,,,,,,,,,,,
207,8787,10130,Small Giants,,,,,,,,,,,,,,
208,1832,10150,Blue Kite Web,,,,,,,,,,,,,,
209,9280,10170,The Maroon Door?,,,,,,,,,,,,,,
210,9928,10080,Angela?s?,,,,,,,,,,,,,,
211,9836,10090,The Zebra?,,,,,,,,,,,,,,
212,4873,10110,Arctic Wolf?,,,,,,,,,,,,,,
213,6372,10050,The Orange?,,,,,,,,,,,,,,
214,4326,10020,The Building People,,,,,,,,,,,,,,
215,9836,10090,The Zebra?,,,,,,,,,,,,,,
216,4873,10160,Arctic Wolf?,,,,,,,,,,,,,,
217,8374,10060,Purple Mango?,,,,,,,,,,,,,,
218,9836,10090,The Zebra?,,,,,,,,,,,,,,
219,9836,10090,The Zebra?,,,,,,,,,,,,,,
220,9087,10120,Tiny Rebellion,,,,,,,,,,,,,,
221,7338,10140,Unchained Carrot,,,,,,,,,,,,,,
222,9836,10100,The Zebra?,,,,,,,,,,,,,,
223,9928,10080,Angela?s?,,,,,,,,,,,,,,
224,9280,10170,The Maroon Door?,,,,,,,,,,,,,,
225,8787,10130,Small Giants,,,,,,,,,,,,,,
226,9836,10100,The Zebra?,,,,,,,,,,,,,,
227,1832,10150,Blue Kite Web,,,,,,,,,,,,,,
228,9836,10100,The Zebra?,,,,,,,,,,,,,,
229,9928,10080,Angela?s?,,,,,,,,,,,,,,
230,8374,10060,Purple Mango?,,,,,,,,,,,,,,
231,9836,10090,The Zebra?,,,,,,,,,,,,,,
232,9280,10170,The Maroon Door?,,,,,,,,,,,,,,
233,8374,10060,Purple Mango?,,,,,,,,,,,,,,
234,9087,10120,Tiny Rebellion,,,,,,,,,,,,,,
235,9280,10070,The Maroon Door?,,,,,,,,,,,,,,
236,6372,10050,The Orange?,,,,,,,,,,,,,,
237,4873,10160,Arctic Wolf?,,,,,,,,,,,,,,
238,9087,10120,Tiny Rebellion,,,,,,,,,,,,,,
239,9836,10100,The Zebra?,,,,,,,,,,,,,,
240,7338,10140,Unchained Carrot,,,,,,,,,,,,,,
241,8374,10010,Purple Mango?,,,,,,,,,,,,,,
242,2733,10040,The Tree Fellas,,,,,,,,,,,,,,
243,2733,10040,The Tree Fellas,,,,,,,,,,,,,,
244,7338,10140,Unchained Carrot,,,,,,,,,,,,,,
245,9836,10100,The Zebra?,,,,,,,,,,,,,,
246,8374,10060,Purple Mango?,,,,,,,,,,,,,,
247,8787,10130,Small Giants,,,,,,,,,,,,,,
248,7338,10140,Unchained Carrot,,,,,,,,,,,,,,
249,9087,10120,Tiny Rebellion,,,,,,,,,,,,,,
250,6372,10050,The Orange?,,,,,,,,,,,,,,
251,1832,10150,Blue Kite Web,,,,,,,,,,,,,,
252,2733,10040,The Tree Fellas,,,,,,,,,,,,,,
253,4873,10160,Arctic Wolf?,,,,,,,,,,,,,,
254,9280,10170,The Maroon Door?,,,,,,,,,,,,,,
255,4873,10110,Arctic Wolf?,,,,,,,,,,,,,,
256,9280,10070,The Maroon Door?,,,,,,,,,,,,,,
257,9836,10100,The Zebra?,,,,,,,,,,,,,,
258,9928,10080,Angela?s?,,,,,,,,,,,,,,
259,6372,10050,The Orange?,,,,,,,,,,,,,,
260,6372,10050,The Orange?,,,,,,,,,,,,,,
261,9280,10170,The Maroon Door?,,,,,,,,,,,,,,
262,9836,10090,The Zebra?,,,,,,,,,,,,,,
263,4873,10110,Arctic Wolf?,,,,,,,,,,,,,,
264,2733,10040,The Tree Fellas,,,,,,,,,,,,,,
265,8374,10060,Purple Mango?,,,,,,,,,,,,,,
266,9280,10070,The Maroon Door?,,,,,,,,,,,,,,
267,9087,10120,Tiny Rebellion,,,,,,,,,,,,,,
268,6372,10050,The Orange?,,,,,,,,,,,,,,
269,4326,10020,The Building People,,,,,,,,,,,,,,
270,8374,10060,Purple Mango?,,,,,,,,,,,,,,
271,6372,10050,The Orange?,,,,,,,,,,,,,,
272,4873,10110,Arctic Wolf?,,,,,,,,,,,,,,
273,9280,10070,The Maroon Door?,,,,,,,,,,,,,,
274,9836,10090,The Zebra?,,,,,,,,,,,,,,
275,4873,10110,Arctic Wolf?,,,,,,,,,,,,,,
276,1832,10030,Blue Kite Web,,,,,,,,,,,,,,
277,9928,10080,Angela?s?,,,,,,,,,,,,,,
278,9836,10090,The Zebra?,,,,,,,,,,,,,,
279,9836,10090,The Zebra?,,,,,,,,,,,,,,
280,4873,10110,Arctic Wolf?,,,,,,,,,,,,,,
281,7338,10140,Unchained Carrot,,,,,,,,,,,,,,
282,9087,10120,Tiny Rebellion,,,,,,,,,,,,,,
283,9836,10100,The Zebra?,,,,,,,,,,,,,,
284,9928,10080,Angela?s?,,,,,,,,,,,,,,
285,1832,10150,Blue Kite Web,,,,,,,,,,,,,,
286,4873,10110,Arctic Wolf?,,,,,,,,,,,,,,
287,6372,10050,The Orange?,,,,,,,,,,,,,,
288,7338,10140,Unchained Carrot,,,,,,,,,,,,,,
289,9928,10080,Angela?s?,,,,,,,,,,,,,,
290,2733,10040,The Tree Fellas,,,,,,,,,,,,,,
291,7338,10140,Unchained Carrot,,,,,,,,,,,,,,
292,9928,10080,Angela?s?,,,,,,,,,,,,,,
293,9280,10170,The Maroon Door?,,,,,,,,,,,,,,
294,2733,10040,The Tree Fellas,,,,,,,,,,,,,,
295,9836,10090,The Zebra?,,,,,,,,,,,,,,
296,9836,10090,The Zebra?,,,,,,,,,,,,,,
297,8787,10130,Small Giants,,,,,,,,,,,,,,
298,6372,10050,The Orange?,,,,,,,,,,,,,,
299,9836,10100,The Zebra?,,,,,,,,,,,,,,
300,9928,10080,Angela?s?,,,,,,,,,,,,,,
301,8374,10060,Purple Mango?,,,,,,,,,,,,,,
302,1832,10030,Blue Kite Web,,,,,,,,,,,,,,
303,9836,10100,The Zebra?,,,,,,,,,,,,,,
304,9280,10070,The Maroon Door?,,,,,,,,,,,,,,
305,9280,10070,The Maroon Door?,,,,,,,,,,,,,,
306,8374,10010,Purple Mango?,,,,,,,,,,,,,,
307,9928,10080,Angela?s?,,,,,,,,,,,,,,
308,8787,10130,Small Giants,,,,,,,,,,,,,,
309,6372,10050,The Orange?,,,,,,,,,,,,,,
310,9836,10090,The Zebra?,,,,,,,,,,,,,,
311,9087,10120,Tiny Rebellion,,,,,,,,,,,,,,
312,9280,10070,The Maroon Door?,,,,,,,,,,,,,,
313,9836,10090,The Zebra?,,,,,,,,,,,,,,
314,9280,10070,The Maroon Door?,,,,,,,,,,,,,,
315,8374,10060,Purple Mango?,,,,,,,,,,,,,,
316,8787,10130,Small Giants,,,,,,,,,,,,,,
317,6372,10050,The Orange?,,,,,,,,,,,,,,
318,1832,10150,Blue Kite Web,,,,,,,,,,,,,,
319,2733,10040,The Tree Fellas,,,,,,,,,,,,,,
320,2733,10040,The Tree Fellas,,,,,,,,,,,,,,
321,6372,10050,The Orange?,,,,,,,,,,,,,,
322,9836,10100,The Zebra?,,,,,,,,,,,,,,
323,9928,10080,Angela?s?,,,,,,,,,,,,,,
324,9280,10070,The Maroon Door?,,,,,,,,,,,,,,
325,2733,10040,The Tree Fellas,,,,,,,,,,,,,,
326,8374,10060,Purple Mango?,,,,,,,,,,,,,,
327,9928,10080,Angela?s?,,,,,,,,,,,,,,
328,9836,10090,The Zebra?,,,,,,,,,,,,,,
329,9836,10100,The Zebra?,,,,,,,,,,,,,,
330,1832,10150,Blue Kite Web,,,,,,,,,,,,,,
331,9087,10120,Tiny Rebellion,,,,,,,,,,,,,,
332,4873,10160,Arctic Wolf?,,,,,,,,,,,,,,
333,9280,10070,The Maroon Door?,,,,,,,,,,,,,,
334,4873,10110,Arctic Wolf?,,,,,,,,,,,,,,
335,9280,10070,The Maroon Door?,,,,,,,,,,,,,,
336,1832,10030,Blue Kite Web,,,,,,,,,,,,,,
337,8374,10060,Purple Mango?,,,,,,,,,,,,,,
338,9087,10120,Tiny Rebellion,,,,,,,,,,,,,,
339,9280,10170,The Maroon Door?,,,,,,,,,,,,,,
340,4873,10110,Arctic Wolf?,,,,,,,,,,,,,,
341,6372,10050,The Orange?,,,,,,,,,,,,,,
342,9836,10100,The Zebra?,,,,,,,,,,,,,,
343,7338,10140,Unchained Carrot,,,,,,,,,,,,,,
344,8374,10060,Purple Mango?,,,,,,,,,,,,,,
345,7338,10140,Unchained Carrot,,,,,,,,,,,,,,
346,8787,10130,Small Giants,,,,,,,,,,,,,,
347,8787,10130,Small Giants,,,,,,,,,,,,,,
348,9928,10080,Angela?s?,,,,,,,,,,,,,,
349,9836,10090,The Zebra?,,,,,,,,,,,,,,
350,4873,10160,Arctic Wolf?,,,,,,,,,,,,,,
351,4873,10110,Arctic Wolf?,,,,,,,,,,,,,,
352,7338,10140,Unchained Carrot,,,,,,,,,,,,,,
353,9280,10170,The Maroon Door?,,,,,,,,,,,,,,
354,9087,10120,Tiny Rebellion,,,,,,,,,,,,,,
355,8374,10060,Purple Mango?,,,,,,,,,,,,,,
356,8787,10130,Small Giants,,,,,,,,,,,,,,
357,9928,10080,Angela?s?,,,,,,,,,,,,,,
358,4873,10110,Arctic Wolf?,,,,,,,,,,,,,,
359,8787,10130,Small Giants,,,,,,,,,,,,,,
360,9836,10100,The Zebra?,,,,,,,,,,,,,,
361,8374,10010,Purple Mango?,,,,,,,,,,,,,,